id,title,price,sold,condition,assurance,weight,seller,description
0,,,,,,,,
1,PROYEK APLIKASI ANDROID DENGAN VISUAL STUDIO XAMARIN DAN CODEIGNITER,Rp75.000,Terjual 2 Produk,Baru,Ya,400gr,Jovans Book Store,"Judul : Proyek Aplikasi ANDROID dengan Visual Studio Xamarin dan Codeigniter
Penulis : Ipung Purwono
Harga : Rp. 85.000
Tebal Buku : 222 Halaman
Dimensi (L x P) : 14 x 21 Cm (Standar)
Tanggal Terbit : 20 Maret 2018"
2,Artificial Intelligence mengupas rekayasa kecerdasan tiruan,Rp130.000,Terjual 4 Produk,Baru,Ya,1000gr,Jovans Book Store,": Komputer (Teknik)
ISBN: 978-623-01-0293-6
Penulis: Imam Robandi
Ukuran⁄Halaman: 19x23 cm² ⁄ xxxvi+564 halaman
Edisi⁄Cetakan: I, 1st Published
Tahun Terbit: 2019
Berat: 900 gram
Harga: Rp 176.000,- Diskon 20%
Harga Diskon: Rp 140.800,-"
3,buku pemrograman javascript untuk aplikasi web,Rp100.000,Terjual 16 Produk,Baru,Opsional,700gr,Jovans Book Store,"Penerbit informatika

Buku original 100%

Harga normal 135.000

Diskon 20%

Silakan di order"
4,buku aplikasi smart report,Rp104.000,Terjual 5 Produk,Baru,Opsional,600gr,Jovans Book Store,"Penerbit informatika

Buku di jamin original 100%

Harga normal 135.000

Diskon 20%

Beli banyak lebih murah

Silakan di order:)"
5,"Buku Sakti Pemrograman Web HTML, CSS, PHP, MySQL dan JavaScript",Rp50.000,Terjual 113 Produk,Baru,Opsional,250gr,Buku ID,"ISBN : 978-602-6673-34-3
Penerbit : Komputer dan Tehnologi
Kategori : Website Design
Jenis Cover : Ivory 210 gram (Doftspot)
Kertas Isi : Bookpaper 52 gram (BW)
Tebal Buku : 216 Halaman
Berat Buku : 200 gram
Dimensi : 14 x 20 cm
Tahun Terbit : 2017

Buku Pemrograman Web ini mengenalkan bagian dari sebuah pembentukan pemrograman web. Buku ini sebagian besar menyajikan langkah-langkah program yang disusun secara terstruktur. Dengan adanya langkah-langkah program tersebut, diharapkan pembaca dapat mempraktikkan secara langsung dan dapat menyimpulkan sendiri maksud dari setiap perintah dalam program dengan cara melihat hasil yang ditampilkan di web browser.

Buku ini sangat cocok bagi pembaca pemula yang baru memulai dunia pemrograman secara mandiri karena langkah-langkah dalam buku ini disajikan sesederhana mungkin. Buku ini cocok digunakan sebagai bahan pembelajaran, baik di perguruan tinggi, sekolah maupun kursus-kursus"
6,Buku Fundamental Of Python For Machine Learning,Rp45.000,Terjual 155 Produk,Baru,Opsional,250gr,Buku ID,"Penulis : Teguh Wahyono
Ukuran : 16 x 23 cm
Tebal : x + 150 hal
ISBN : 9786025568404
Tahun : 2018
Harga : 59.000 (Pulau Jawa)

Artificial intelligence  (AI) dan machine learning saat ini kembali memasuki fase booming setelah beberapa dekade mengalami pasang surut. Kecerdasan Buatan kembali digandrungi, dimana penerapannya dilakukan secara masive pada aplikasi-aplikasi bisnis dan social media jaman now seperti Facebook, Twitter, Google, Amazon, dan bahkan berbagai aplikasi besar dari Indonesia seperti Go-jek, Tokopedia, dan sebagainya.

Dari sisi Bahasa Pemrograman, Python menjadi salah satu pilihan terbaik untuk mengimplementasikan machine learning, mengingat kelengkapan library yang dibutuhkan untuk metode tersebut. Sejak di-release pada tahun  1991 bahasa pemrograman inipun berkembang pesat dan bahkan menjadi 3 besar most wanted bahasa pemrogaman bersama Java dan C.

Struktur pembahasan dalam buku ini meliputi 3 bagian besar yaitu
(1) Konsep Machine Learning dan Kecerdasan Buatan
(2) Dasar-Dasar Pemrograman Python untuk Machine Learning  serta
(3) Contoh Penerapan Machine Learning Menggunakan Python dengan menerapkan beberapa algoritma baik Supervised maupun Unsupervised Learning.

Beberapa studi kasus dibahas secara lengkap dari pemahaman algoritma, mengolah dataset sampai pada training dan testing serta visualisasi hasil dari model machine learning yang dikembangkan. "
7,Buku Javascript Jalan pintas menjadi master react js plus CD,Rp75.000,Terjual 77 Produk,Baru,Opsional,300gr,kulakanid,"Penulis/Pembuat : Lukmanul Hakim
Kode Produk : LOKO-182
ISBN : 978-602-62311-9-2
Tahun Terbit : Oktober 2018
Jumlah Halaman/Durasi : 114
Bonus : CD Video Tutorial dan Full Color

Pengen tau caranya bikin Aplikasi Zaman Now? Anda harus kenal dengan ReactJS, sebuah library Javascript untuk membangun User Interface yang dibuat oleh Facebook. Aplikasi yang dibuat ReacJS terlihat super cepat, stabil, responsif, interaktif dan cool.

Banyak perusahaan ternama yang menggunakan React, terutama startup, seperti Gojek, Grab, Traveloka, Tokopedia, Buk4l4p4k, Netflix, BBC, Instagram, Paypal, WhatsApp, Dropbox, Airbnb dan Facebook tentunya.

Buku ini diawali dengan Pengenalan ReactJS, Cara Termudah Instalasi React, Dasar React (Component, Props, State, Event, Router, Transition, JSON), kemudian diterapkan dalam membuat proyek aplikasi nyata, seperti Aplikasi Aktivitas Harian, Aplikasi Homestay dan Single Page Application.

Selain itu, buku disajikan dalam bentuk Langkah demi Langkah disertai Visualisasi Diagram. Penjelasan tiap baris code yang telah disederhanakan sedemikian rupa. Format buku Full Color (semua halaman berwarna yang akan memanjakan mata Anda dalam menikmati pembelajaran React).

Dengan begitu, buku ini sangat praktis dan aplikatif, dirancang untuk 7 jam masa pembelajaran, sehingga Anda dapat menguasai ReactJS dengan cepat. Untuk lebih memudahkan Anda, disertakan pula CD berisi Software, Source Code dan Video Tutorial."
8,TERMURAH ORIGINAL BESTSELLER Buku Algoritma & Pemrograman - Rinaldi M,Rp94.500,Terjual 97 Produk,Baru,Opsional,760gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

INGIN BUKU ALGORITMA YANG PALING BANYAK DIGUNAKAN DI SELURUH PERGURUAN TINGGI DI INDONESIA?? Inilah bukunya. Saking sering dipakainya, buku ini sudah direvisi dan dan cetak ulang 6 kali! ALGORITMA DAN PEMROGRAMAN DALAM BAHASA PASCAL, C, DAN C++ EDISI KEENAM

Penulis : RINALDI MUNIR
Penerbit : INFORMATIKA
ISBN : 602-1514-91-7
Tahun : Febuari 2016
Tebal : 682 Hal


Buku Algoritma dan Pemrograman dalam Bahasa Pascal, C, dan C++ merupakan edisi baru dari buku sebelumnya, yaitu Algoritma dan Pemrograman dalam Bahasa Pascal dan C. Materi yang dibahas di dalam Buku ini meliputi: Konsep dasar algoritma dan pemrograman Tipe data, operator, dan Ekspresi Konstruksi dasar pembangun algoritma: runtunan, pemilihan, pengulangan Pemrograman modular: fungsi dan prosedur Larik (array) dan matriks Algoritma pencarian (searching) dan algoritma pengurutan (sorting) Arsip beruntun (sequential file) Algoritma rekursif Pengantar pemrograman dengan bahasa Java Setiap materi diperkaya dengan banyak contoh pemecahan masalah. Notasi algoritma yang digunakan adalah notasi abstrak berupa pseudo-code. Notasi pseudo-code dibuat sedemikian sehingga ia mudah diterjemahkan (translasi) ke dalam notasi bahasa pemrograman. Bahasa pemrograman yang digunakan di dalam buku ini adalah Bahasa Pascal, Bahasa C, dan Bahasa C++. Bahasa Pascal dipilih bahasa pemrograman terstruktur untuk level pendidikan, sedangkan bahasa C dan C++ dipilih karena populer, simpel, dan banyak digunakan untuk level riset dan industri perangkat lunak. Kompilator (compiler) bahasa Pascal/C yang digunakan boleh sembarang, namun buku ini menggunakan kompilator yang free dan dapat di-download dari internet, yaitu Free Pascal dan GCC (GNU C Compiler)"
9,TERMURAH ORIGINAL BUKU UNITY TOTURIAL GAME ENGINE EDISI REVISI,Rp106.300,Terjual 148 Produk,Baru,Opsional,750gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Judul : Unity Tutorial Game Engine Edisi Revisi -2
Penulis : Rickman Roedavan
Penerbit : Informatika
Tahun Terbit : 2018

Versi 2017.x merupakan siklus terbaru pengembangan game engine Unity yang lebih menitikberatkan pada performa core engine serta dukungan untuk game berbasis XR (eXtended Reality). Selain itu, dukungan fitur terbaru Timeline dan Cinemachine menjadikan Unity tidak hanya mampu membuat game tetapi juga film animasi 3D.

Penulis berharap, semoga buku ini dapat menjadi jalan pembuka bagi anda semua yang ingin mempelajari Unity.

Pembahasan;
Hello World Unity
Data Type
Array & Class
Looping Function
Keyboard Input
Mouse Input
Android Input
Fade In Splash Screen
GUIskin Menu
Sound Option
Find & Rotate
Camera Manipulation
Toggle Material
Clone Ball
Translate Cube
Raycast Cube
Shooting Target
Simple Animation
Jepret Webcam
Go Par ticle!
UI System
Movie Texture
Loading Screen
Vir tual Keyboard
Video Player
XML Parser
UDP Client Server
High Score Table
Timeline Editor
Cinema Chine
Hello Terrain 3D
Day And Night
Hello Terrain 2D
Jungle Illusion
Kiky Si Kancil
Attack On Kancil
Sprite Character
Anima2D
Par ticle Magic
PHP & MySQL
Visual Novel
Augmented Reality
Face Recognition
Unity ADS
Vir tual Reality
Text Mesh Pro
RPG Tilemap
Movie Recording
Cinematic FX"
